LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,PAY_AMT1,PAY_AMT2,default_payment_next_month
230000,female,graduate school,married,37,on time,on time,400,20123,1256,0
50000,male,graduate school,married,27,2 month(s) late,2 month(s) late,43333,4000,2000,1
240000,female,university,other,39,on time,on time,171907,7200,3000,0
130000,female,graduate school,single,26,on time,on time,20054,1298,6730,0
160000,female,graduate school,single,34,on time,on time,43729,2045,1809,0
210000,female,graduate school,single,31,on time,on time,121697,5000,5000,0
210000,female,university,single,32,on time,on time,1952,1526,4000,0
330000,male,graduate school,single,47,on time,on time,240063,9500,5591,0
110000,female,university,married,51,on time,on time,10141,1500,2000,0
120000,female,university,single,28,1 month(s) late,2 month(s) late,108993,5500,4100,0
100000,female,graduate school,single,29,on time,on time,5466,5652,9690,0
210000,female,university,single,34,on time,on time,63672,2200,3000,0
350000,female,graduate school,single,31,on time,on time,181550,10000,20000,0
180000,female,university,single,25,on time,on time,141836,5124,6000,0
150000,female,graduate school,single,28,on time,on time,66296,3000,3005,0
50000,male,graduate school,other,37,1 month(s) late,2 month(s) late,49457,0,1200,0
230000,female,high school,married,47,on time,on time,5482,15900,1678,0
30000,female,university,married,39,2 month(s) late,2 month(s) late,9884,0,1200,1
90000,female,university,married,24,2 month(s) late,2 month(s) late,86643,3881,3000,1
390000,female,university,married,24,on time,on time,16406,1500,1500,0
50000,female,university,single,25,2 month(s) late,2 month(s) late,15679,1100,2150,1
320000,male,university,married,39,on time,on time,51058,1240,1403,0
20000,male,university,single,34,on time,on time,15907,1498,1200,0
200000,female,university,married,41,on time,on time,42292,3000,2000,0
500000,male,graduate school,married,40,on time,on time,5255,721,17252,1
190000,female,university,single,28,1 month(s) late,on time,0,0,0,0
70000,female,graduate school,single,25,2 month(s) late,on time,5730,2000,2000,1
220000,female,graduate school,single,35,on time,on time,8304,11526,1282,1
50000,male,university,single,28,on time,on time,28864,2000,2000,0
50000,male,university,married,37,on time,on time,15175,1579,1590,0
50000,female,university,married,46,2 month(s) late,2 month(s) late,28390,2000,2000,0
70000,male,graduate school,married,42,on time,on time,70730,3500,15000,0
80000,female,graduate school,single,26,on time,on time,66982,2986,3056,0
50000,male,high school,single,41,on time,on time,45487,1858,1685,0
150000,female,graduate school,single,27,on time,on time,1345,0,0,0
300000,female,graduate school,married,36,on time,on time,540,1283,843,0
50000,female,graduate school,single,25,on time,on time,10973,1300,1500,0
170000,female,university,married,42,on time,on time,4600,2000,1000,0
350000,male,graduate school,single,37,on time,on time,316,316,316,0
470000,female,university,single,33,on time,on time,43353,5000,2600,0
20000,male,university,single,25,on time,on time,13610,1360,1400,0
140000,female,university,single,26,1 month(s) late,on time,0,811,1000,0
60000,female,university,single,23,1 month(s) late,2 month(s) late,45014,1774,0,0
160000,female,university,single,23,on time,on time,122339,18518,3358,0
150000,female,graduate school,single,26,on time,on time,101569,3756,5350,0
20000,female,graduate school,single,23,on time,on time,292,780,0,0
210000,male,graduate school,single,35,on time,on time,6808,4960,8747,0
50000,male,university,single,23,on time,on time,3352,18685,1105,0
210000,female,graduate school,single,31,on time,on time,15332,10000,19875,0
280000,male,graduate school,married,44,on time,on time,593,1777,53934,0
300000,male,university,single,36,on time,on time,15536,10000,10140,0
230000,female,high school,married,37,on time,on time,228342,6100,7000,0
250000,male,university,married,47,on time,on time,8996,18069,7966,0
500000,female,graduate school,married,36,on time,on time,24170,8091,78192,0
50000,female,university,married,48,on time,on time,12592,2017,2000,0
50000,male,high school,single,46,on time,on time,5942,1056,1000,0
150000,female,university,married,36,on time,on time,296846,7143,13700,0
180000,female,graduate school,single,53,1 month(s) late,on time,0,41300,41300,0
450000,male,university,single,37,on time,on time,136655,13492,13641,0
70000,female,university,other,24,1 month(s) late,2 month(s) late,4177,0,1500,0
110000,male,high school,married,40,on time,on time,93357,4100,2612,0
200000,male,graduate school,married,43,1 month(s) late,2 month(s) late,203393,0,5812,1
210000,female,university,single,37,1 month(s) late,on time,0,0,0,0
320000,male,graduate school,single,36,on time,on time,146201,5465,3137,0
20000,male,graduate school,single,37,on time,on time,66599,2317,2579,1
130000,female,university,single,29,on time,on time,1110,1170,0,0
20000,male,graduate school,married,29,on time,on time,16961,2000,1139,0
210000,male,graduate school,married,39,on time,on time,3391,1000,0,0
30000,female,university,single,33,on time,on time,25498,1451,1408,1
60000,female,high school,married,36,1 month(s) late,2 month(s) late,47987,1788,0,1
110000,male,university,married,49,on time,on time,75565,4009,5000,0
130000,male,graduate school,single,32,on time,on time,32236,10000,0,0
500000,female,graduate school,single,38,on time,on time,74615,4010,6720,0
500000,male,university,married,38,on time,on time,499231,22600,501,1
100000,male,university,single,35,on time,2 month(s) late,8102,2500,0,1
220000,male,graduate school,single,25,on time,on time,29664,1018,8424,0
50000,male,university,single,40,on time,on time,40561,18280,2284,0
500000,male,graduate school,married,49,on time,on time,1320,1320,1320,0
50000,female,graduate school,single,29,on time,on time,2459,2471,6015,1
200000,female,graduate school,married,45,on time,on time,1417,12660,3977,0
320000,female,university,single,50,on time,on time,5714,3000,342,0
450000,male,university,single,29,1 month(s) late,2 month(s) late,16524,676,1204,0
20000,male,high school,single,26,8 month(s) late,7 month(s) late,43340,0,0,0
310000,female,university,married,44,on time,on time,500,0,0,0
120000,female,university,single,23,on time,on time,100727,4324,3234,1
200000,female,university,married,48,on time,on time,354304,8000,5600,0
50000,male,high school,married,53,on time,on time,49466,2442,1669,0
130000,male,high school,married,48,on time,on time,100522,4650,0,0
50000,female,university,single,23,on time,on time,25421,2000,1000,0
130000,male,university,single,26,on time,on time,16435,1300,2600,1
50000,female,university,single,42,on time,on time,50221,2215,1462,0
30000,male,university,single,32,2 month(s) late,on time,17287,3000,3000,0
30000,female,university,married,34,2 month(s) late,2 month(s) late,24014,2274,2217,1
160000,male,graduate school,single,34,on time,on time,390,390,390,1
50000,male,graduate school,single,27,on time,on time,43341,1800,1729,0
80000,female,university,single,28,on time,on time,18112,10084,79200,0
60000,female,university,single,25,on time,on time,50269,4749,1621,0
230000,female,graduate school,single,27,1 month(s) late,2 month(s) late,46628,0,1000,0
390000,female,graduate school,single,30,on time,on time,86124,4300,3437,0
110000,female,university,married,28,on time,on time,3242,1300,1054,0
50000,male,graduate school,single,24,1 month(s) late,on time,0,0,0,0
20000,female,university,married,35,1 month(s) late,2 month(s) late,22382,0,0,1
100000,male,university,single,29,on time,on time,65324,2106,0,0
70000,female,high school,married,33,on time,on time,32405,10580,8009,0
150000,male,university,married,31,2 month(s) late,2 month(s) late,156286,57,6203,0
390000,male,graduate school,single,31,on time,on time,19469,2227,2400,0
50000,male,university,married,22,on time,on time,47559,3690,2500,0
90000,male,university,single,26,2 month(s) late,2 month(s) late,121368,0,95800,0
290000,female,university,single,30,on time,on time,288994,12549,7003,1
20000,male,university,single,24,on time,on time,19401,3232,0,0
90000,female,graduate school,single,28,on time,on time,87916,5800,5400,1
260000,male,high school,single,48,on time,on time,266762,11500,10000,0
90000,female,university,single,26,on time,on time,92472,4600,4100,0
100000,female,university,single,27,3 month(s) late,2 month(s) late,104489,0,4384,1
150000,female,graduate school,single,31,on time,on time,126419,7000,12440,0
60000,female,university,married,46,on time,on time,60987,2145,1612,0
80000,male,university,married,42,2 month(s) late,on time,80586,3000,3200,0
80000,female,university,married,24,on time,on time,15621,3768,1368,0
30000,female,university,married,26,1 month(s) late,2 month(s) late,30349,0,1200,0
20000,male,university,married,38,on time,on time,2638,3016,3282,0
50000,male,university,single,24,on time,on time,34500,0,0,0
250000,female,graduate school,single,37,on time,on time,43971,1007,13346,0
50000,female,graduate school,single,22,on time,on time,41940,1748,1253,1
120000,female,high school,single,32,on time,on time,5152,1015,890,0
20000,female,university,married,36,1 month(s) late,on time,-25,0,0,0
280000,female,high school,single,33,on time,on time,2186,2196,2194,0
50000,female,graduate school,married,35,on time,on time,46532,3000,1200,0
360000,male,high school,single,49,on time,on time,348,8047,200222,0
100000,male,graduate school,single,32,on time,on time,671,671,671,1
140000,female,high school,married,42,2 month(s) late,2 month(s) late,47556,2300,0,0
170000,female,university,married,33,on time,on time,172382,6558,6316,0
50000,female,university,married,33,on time,on time,25658,1700,2080,0
50000,male,high school,married,46,on time,on time,49083,1463,1733,0
120000,male,university,married,47,on time,on time,2486,260,5753,1
170000,female,university,single,38,on time,on time,86401,3991,4071,0
380000,male,university,married,43,on time,on time,195221,8000,8263,0
400000,female,high school,married,37,on time,on time,76917,4000,4000,0
50000,female,graduate school,single,30,on time,on time,30145,5000,2000,0
440000,female,university,married,42,1 month(s) late,on time,22597,7324,5683,0
30000,female,university,married,24,2 month(s) late,2 month(s) late,150,0,0,0
470000,male,graduate school,married,39,on time,on time,5572,3595,22816,0
180000,female,high school,married,40,on time,on time,1903,0,0,0
110000,male,high school,single,32,on time,on time,34000,223,0,1
300000,male,graduate school,single,25,on time,on time,76918,4103,1427,0
120000,female,graduate school,single,31,on time,on time,325,325,325,0
220000,male,graduate school,single,33,on time,on time,3233,2108,1332,0
50000,male,graduate school,single,27,on time,on time,50459,1600,3071,0
100000,male,university,married,43,1 month(s) late,on time,0,0,0,0
170000,female,graduate school,single,30,on time,on time,3733,1958,5956,0
360000,female,graduate school,single,37,on time,on time,3355,5865,3300,0
180000,female,university,single,43,on time,on time,4819,1010,1003,0
120000,male,university,single,27,on time,on time,33474,1789,2037,0
210000,male,high school,single,32,on time,on time,1649,1000,0,0
60000,male,university,married,56,on time,on time,28842,2000,2000,1
130000,male,university,married,40,on time,on time,20733,7261,12272,0
50000,female,high school,married,36,on time,on time,3781,1710,25000,0
50000,female,high school,married,52,1 month(s) late,2 month(s) late,30505,0,1831,1
100000,female,graduate school,married,33,on time,on time,3976,0,0,1
150000,female,high school,married,43,on time,on time,90606,4348,3229,0
240000,male,university,married,38,2 month(s) late,on time,6848,836,2508,1
120000,male,university,other,38,on time,on time,7787,3505,1711,0
80000,female,university,married,32,on time,on time,199,199,199,1
210000,female,university,married,27,2 month(s) late,2 month(s) late,174134,16,6800,1
80000,female,university,single,37,on time,2 month(s) late,1118,0,10512,0
50000,female,university,married,38,on time,on time,20838,3000,0,1
50000,female,university,other,52,on time,on time,50671,1844,1292,0
330000,female,graduate school,single,34,on time,on time,1406,1488,2599,0
230000,male,high school,single,28,on time,on time,152966,65722,20000,0
30000,male,high school,married,44,4 month(s) late,3 month(s) late,7221,0,0,1
50000,male,graduate school,married,41,2 month(s) late,on time,39159,1669,1684,1
220000,male,graduate school,single,37,2 month(s) late,2 month(s) late,185955,0,9000,0
270000,female,graduate school,single,27,on time,on time,11306,1500,2000,0
160000,male,graduate school,married,44,on time,on time,156400,7200,8000,0
10000,female,university,married,24,1 month(s) late,2 month(s) late,3892,0,1600,0
20000,male,university,single,25,on time,on time,15006,1406,1400,0
30000,male,high school,single,25,2 month(s) late,2 month(s) late,22440,2390,0,1
210000,female,university,single,32,on time,on time,85965,4000,7500,0
250000,female,university,married,50,on time,on time,116256,11500,0,0
50000,male,university,single,28,on time,on time,23244,1500,1500,0
180000,female,graduate school,single,28,on time,on time,584,1133,572,0
200000,male,graduate school,single,35,on time,on time,7429,24325,40265,0
350000,male,graduate school,married,38,on time,on time,16459,941,44743,1
20000,male,graduate school,single,22,on time,on time,18093,1300,1611,0
30000,male,high school,single,36,on time,on time,30328,1768,0,1
20000,male,graduate school,married,34,2 month(s) late,on time,6099,2000,2000,0
140000,female,high school,single,59,2 month(s) late,on time,62042,3000,2000,1
30000,male,high school,married,44,2 month(s) late,2 month(s) late,18659,4500,0,1
180000,female,graduate school,single,30,on time,on time,15743,1205,9402,0
20000,female,university,single,25,on time,on time,8011,1320,2181,0
100000,female,high school,married,36,2 month(s) late,2 month(s) late,53530,3000,2000,1
100000,female,high school,married,36,on time,on time,101972,16608,0,1
20000,male,university,married,45,on time,on time,0,0,0,0
350000,male,graduate school,married,31,on time,on time,18685,3000,3000,1
80000,female,university,married,32,on time,on time,80237,3000,2500,0
120000,female,high school,married,49,on time,on time,44244,2000,3000,0
210000,female,university,single,30,on time,on time,1654,32000,2000,0
120000,male,graduate school,married,37,on time,on time,32050,3872,52150,0
20000,male,university,single,22,on time,on time,8134,2000,1000,0
200000,male,high school,single,25,on time,on time,848,753,547,0
50000,female,university,single,54,on time,4 month(s) late,1126,0,0,0
170000,male,university,married,37,on time,on time,5635,6321,102108,0
450000,male,graduate school,married,37,1 month(s) late,on time,0,245,0,0
300000,male,graduate school,single,34,on time,on time,396,396,396,0
300000,male,graduate school,single,36,on time,on time,295433,13000,13116,0
280000,male,university,married,37,on time,on time,2035,11009,9370,0
170000,male,graduate school,single,39,on time,on time,171160,13000,6154,0
60000,male,graduate school,married,38,2 month(s) late,on time,30013,2000,2000,1
50000,male,university,single,29,on time,on time,23469,1437,1236,0
380000,male,university,married,38,on time,on time,0,0,990,0
70000,female,graduate school,married,40,2 month(s) late,on time,45251,1800,3700,1
430000,male,graduate school,married,48,on time,on time,4469,52226,46935,0
180000,male,graduate school,married,38,on time,on time,326,326,326,0
330000,female,university,married,41,1 month(s) late,2 month(s) late,289884,0,22200,0
250000,female,graduate school,single,26,on time,on time,7374,0,0,0
480000,female,graduate school,married,38,on time,on time,384150,15000,16000,0
210000,male,university,single,37,on time,on time,1890,3037,1200,0
160000,male,university,single,26,on time,on time,25060,8026,7804,0
390000,male,other,single,29,1 month(s) late,2 month(s) late,407399,0,14414,0
280000,male,graduate school,married,44,1 month(s) late,on time,-136,360,360,0
50000,male,university,married,33,on time,on time,390,390,0,0
350000,male,graduate school,married,60,1 month(s) late,on time,0,1150,4576,1
230000,female,graduate school,single,40,on time,on time,360,0,0,0
200000,male,high school,other,36,on time,on time,5644,89187,14178,0
30000,male,university,single,47,on time,on time,29596,1600,1500,0
50000,male,university,married,37,on time,on time,4719,22530,6640,0
180000,male,graduate school,single,26,on time,on time,24464,1573,3007,0
150000,female,high school,married,45,on time,on time,141415,5457,5661,1
70000,male,graduate school,single,27,on time,on time,39449,2100,2000,0
150000,male,university,single,26,on time,on time,10111,1158,1181,0
50000,male,high school,single,25,1 month(s) late,2 month(s) late,43685,2000,0,0
430000,female,university,married,42,on time,on time,89395,3243,3200,0
70000,male,graduate school,single,25,on time,2 month(s) late,3635,1100,0,1
20000,male,high school,single,36,1 month(s) late,on time,0,832,0,0
310000,female,graduate school,married,33,on time,on time,115,894,0,1
160000,female,university,married,23,on time,on time,96814,10008,20014,0
30000,male,high school,single,38,1 month(s) late,2 month(s) late,30771,0,2000,0
480000,female,high school,married,39,on time,on time,51303,73428,20496,0
180000,female,graduate school,single,28,on time,on time,99307,6700,10605,1
210000,male,university,married,40,on time,on time,5130,15266,2500,0
360000,male,graduate school,single,30,on time,on time,312,313,313,1
180000,male,high school,single,31,2 month(s) late,2 month(s) late,36864,0,1800,0
200000,female,graduate school,single,29,1 month(s) late,2 month(s) late,16198,0,5000,0
50000,male,high school,single,22,on time,on time,48423,2150,956,1
240000,male,university,married,48,on time,on time,3972,783,0,1
180000,female,graduate school,single,29,on time,on time,35619,1745,1200,0
80000,female,high school,married,33,on time,on time,325,107,1000,0
50000,female,high school,married,32,on time,on time,42740,3000,4000,0
280000,female,university,married,36,on time,on time,101803,5005,7066,0
70000,female,graduate school,single,29,on time,on time,43462,3000,3000,0
400000,male,graduate school,single,36,on time,on time,6233,11219,0,0
210000,female,high school,married,45,on time,on time,430,430,430,0
80000,male,high school,single,33,on time,on time,55424,2068,2081,0
30000,female,university,single,24,2 month(s) late,2 month(s) late,300,0,0,0
310000,male,university,single,29,2 month(s) late,2 month(s) late,400,0,0,0
360000,female,high school,single,27,1 month(s) late,on time,0,0,0,0
200000,male,university,single,28,on time,on time,29804,20044,10198,0
50000,male,university,married,33,on time,on time,50431,1823,1500,0
320000,female,university,married,41,on time,on time,49846,5000,2000,0
60000,male,university,single,27,on time,on time,23439,3300,3900,0
230000,female,graduate school,single,30,2 month(s) late,2 month(s) late,216409,10000,8500,0
150000,female,graduate school,married,44,on time,on time,1843,1367,0,1
360000,female,graduate school,married,39,on time,on time,165,853,165,0
50000,male,graduate school,single,34,on time,on time,20613,10000,10000,0
280000,female,graduate school,married,37,on time,on time,3915,6691,85,0
50000,female,high school,married,50,on time,on time,38499,1743,1021,0
500000,male,graduate school,married,32,on time,on time,15491,12992,2009,0
400000,female,high school,married,41,on time,on time,18487,2620,1000,1
280000,male,university,single,28,on time,on time,1799,1782,1857,0
360000,female,university,single,41,on time,on time,158277,50000,100000,0
260000,female,graduate school,single,29,1 month(s) late,on time,15502,18000,16666,1
330000,male,graduate school,married,42,on time,on time,241191,10000,5449,0
350000,female,university,married,33,on time,on time,-7438,152000,6000,0
500000,female,university,married,39,on time,on time,36550,18795,22398,0
440000,female,graduate school,married,35,on time,on time,128808,10000,5000,0
260000,male,university,single,28,on time,on time,234867,10500,9150,0
500000,male,high school,married,48,on time,on time,36875,1192,32382,0
100000,male,university,married,35,on time,on time,81415,4000,3000,0
70000,male,high school,married,47,on time,on time,67670,2730,2490,0
440000,male,graduate school,single,43,on time,on time,58108,2400,3000,0
220000,female,graduate school,married,44,on time,on time,208858,7611,7484,0
160000,female,graduate school,married,32,on time,on time,3189,3248,3421,0
200000,male,university,married,46,on time,2 month(s) late,7340,0,4486,0
30000,female,university,single,25,on time,on time,24458,5000,1518,0
110000,female,graduate school,single,27,on time,on time,113461,4251,4218,0
60000,female,university,married,43,on time,on time,57033,2880,2473,0
260000,male,graduate school,single,28,on time,on time,76996,11515,13419,0
110000,male,university,married,36,on time,on time,109361,3940,3256,0
260000,male,high school,married,44,on time,on time,257987,7100,135546,0
280000,female,graduate school,single,32,on time,on time,157480,6400,6100,0
210000,male,graduate school,single,30,on time,on time,462,1032,2234,0
80000,female,university,married,37,on time,on time,5744,33115,1568,0
200000,female,graduate school,single,37,on time,on time,75360,2050,15000,0
100000,female,university,single,33,2 month(s) late,2 month(s) late,74763,0,3000,0
210000,male,university,married,42,on time,on time,9377,9540,9856,0
140000,female,university,single,35,1 month(s) late,2 month(s) late,148305,0,7000,0
180000,male,graduate school,single,29,on time,on time,93962,3500,4000,0
240000,female,university,single,34,on time,on time,122810,10066,7255,0
150000,female,graduate school,single,24,on time,on time,4857,1733,49200,0
80000,male,university,married,54,on time,on time,105365,5030,2698,1
210000,female,university,married,37,on time,on time,22908,32513,9,1
180000,female,graduate school,single,28,on time,on time,12595,7000,7000,0
100000,female,graduate school,single,26,on time,on time,96353,4900,5000,0
20000,male,graduate school,single,28,on time,on time,17359,2700,4150,0
140000,male,university,single,34,on time,on time,128312,5000,2200,0
200000,male,high school,single,40,on time,on time,390,1799,390,0
80000,male,university,single,25,on time,on time,77142,2000,2000,0
20000,female,university,single,49,1 month(s) late,2 month(s) late,18718,0,3000,1
80000,female,university,single,24,on time,on time,0,0,0,0
170000,female,graduate school,married,41,on time,on time,165602,80000,4742,0
70000,female,university,married,41,2 month(s) late,2 month(s) late,50241,2000,0,1
90000,female,high school,married,40,on time,on time,3569,7385,7608,0
30000,male,university,single,30,on time,on time,22221,1391,1403,0
50000,male,graduate school,single,25,on time,on time,2543,14439,566,0
50000,female,university,single,21,on time,on time,390,1499,780,1
260000,female,graduate school,single,39,on time,on time,231024,10000,10000,0
360000,female,graduate school,married,33,on time,on time,50067,17607,41285,0
500000,female,high school,single,52,on time,on time,0,0,0,1
160000,male,high school,married,46,2 month(s) late,2 month(s) late,168501,0,6322,0
460000,female,graduate school,single,39,on time,on time,89095,6000,20000,0
20000,female,university,single,26,2 month(s) late,on time,19366,1800,1500,1
360000,male,university,single,25,1 month(s) late,on time,0,1647,5,0
300000,female,graduate school,married,38,on time,on time,1008,228,0,0
70000,female,university,married,28,1 month(s) late,3 month(s) late,29836,1800,600,1
50000,female,graduate school,single,26,on time,on time,26808,30040,2037,0
150000,female,high school,married,51,on time,on time,113647,5001,4000,0
390000,male,university,married,42,on time,on time,1565,1733,2492,0
280000,male,graduate school,single,37,on time,on time,251486,9352,8077,0
50000,female,high school,married,28,on time,on time,3377,1000,4207,0
280000,female,graduate school,single,38,1 month(s) late,on time,0,0,3898,1
50000,female,university,married,41,1 month(s) late,on time,0,0,0,0
50000,male,graduate school,single,32,on time,on time,13185,1255,2000,0
150000,female,graduate school,single,28,on time,on time,0,0,0,0
120000,female,graduate school,single,31,1 month(s) late,on time,0,1730,2459,1
360000,female,university,other,37,on time,on time,10764,1052,1002,0
20000,male,university,single,33,on time,on time,3010,1272,19288,0
50000,female,high school,married,46,on time,on time,48797,2000,1018,0
20000,female,graduate school,single,23,1 month(s) late,2 month(s) late,10407,0,2000,1
90000,male,university,married,35,on time,on time,90467,4000,5000,1
230000,male,university,married,35,on time,on time,176853,10000,5000,0
20000,male,university,single,22,on time,2 month(s) late,17990,0,1502,0
100000,female,university,single,23,on time,on time,45756,9187,5408,0
270000,male,university,single,26,on time,on time,214277,10000,7500,0
160000,male,university,single,28,on time,on time,1390,550,550,0
80000,female,university,single,29,on time,on time,46724,2000,2000,0
10000,male,graduate school,single,24,2 month(s) late,on time,7554,1500,2000,1
500000,female,university,married,27,on time,on time,11354,9983,13587,0
90000,female,graduate school,married,43,on time,on time,16139,4367,9,0
150000,female,high school,married,59,on time,on time,11067,12405,10557,0
50000,male,high school,married,49,on time,on time,2522,1173,0,0
260000,male,high school,married,48,on time,on time,200716,8812,9158,0
50000,female,university,single,22,on time,on time,836,10214,2000,0
30000,male,graduate school,single,28,on time,2 month(s) late,1190,1098,0,1
70000,male,university,single,26,2 month(s) late,2 month(s) late,46599,0,4000,0
360000,male,graduate school,married,52,1 month(s) late,on time,0,0,0,1
430000,female,graduate school,single,39,on time,on time,673,4576,7642,0
50000,female,university,single,23,on time,on time,1291,1100,1181,0
150000,female,other,single,26,on time,on time,22683,2219,0,0
70000,female,university,single,23,1 month(s) late,2 month(s) late,17461,0,1400,1
150000,female,graduate school,single,25,on time,on time,42437,2265,2538,0
110000,male,high school,married,38,on time,on time,14084,2500,2500,0
20000,female,graduate school,single,38,on time,on time,3527,1241,1700,1
20000,male,high school,single,39,on time,on time,7824,1307,1174,0
50000,male,graduate school,single,31,on time,on time,11479,12002,3508,0
10000,male,graduate school,single,33,on time,on time,8417,1700,4700,0
20000,male,university,single,24,on time,on time,15703,4663,0,0
180000,male,university,single,34,1 month(s) late,on time,149172,4600,4207,1
60000,female,university,married,26,on time,on time,60597,5504,0,1
20000,male,graduate school,married,30,1 month(s) late,2 month(s) late,6885,2000,0,1
70000,female,graduate school,single,25,on time,on time,71106,3292,3290,0
60000,female,university,married,38,on time,on time,48399,1764,1400,0
200000,male,graduate school,single,28,on time,on time,3330,2686,115916,0
200000,male,graduate school,single,34,1 month(s) late,on time,-1730,0,3000,1
300000,female,graduate school,married,37,on time,on time,3144,5734,2018,0
390000,male,graduate school,single,34,on time,on time,13006,524,1790,0
80000,female,university,married,23,on time,on time,72364,2756,1366,0
100000,female,graduate school,single,25,on time,on time,12660,5000,0,0
230000,male,high school,single,30,1 month(s) late,2 month(s) late,213894,10040,28341,0
40000,female,high school,married,49,1 month(s) late,on time,0,0,0,0
180000,female,university,married,25,on time,on time,33322,1900,1864,0
420000,male,university,single,28,on time,on time,22872,1700,2000,0
20000,male,university,married,59,on time,on time,2946,0,1473,0
340000,female,university,married,31,on time,on time,33639,5000,5000,0
20000,female,graduate school,single,25,2 month(s) late,2 month(s) late,9317,10000,800,1
320000,male,high school,single,52,on time,on time,31858,5000,5000,0
360000,male,graduate school,married,39,on time,on time,0,0,0,0
100000,female,graduate school,single,29,on time,on time,33330,3500,3000,0
310000,female,graduate school,single,36,on time,on time,0,298887,0,0
140000,female,university,single,24,on time,on time,35806,3000,1580,0
200000,male,university,single,33,1 month(s) late,2 month(s) late,98990,0,9000,0
30000,female,university,single,28,on time,on time,1743,0,0,1
130000,female,high school,married,25,on time,on time,132110,6359,4505,0
20000,female,high school,married,44,on time,on time,17095,3000,0,0
120000,female,other,married,57,on time,on time,116497,5000,5007,0
190000,female,graduate school,single,32,on time,on time,8010,922,3208,0
50000,female,university,married,26,on time,on time,43721,2228,2500,0
130000,female,other,single,27,on time,on time,107599,4030,4600,0
220000,female,university,married,48,on time,on time,28132,2700,1534,1
200000,female,university,married,29,on time,on time,70422,3500,2472,0
50000,female,high school,married,59,on time,on time,37201,1503,1352,0
30000,female,university,married,26,2 month(s) late,2 month(s) late,30954,2074,0,0
200000,female,university,married,33,1 month(s) late,on time,0,0,0,0
400000,female,high school,married,50,2 month(s) late,on time,5523,8037,0,1
120000,female,graduate school,married,41,on time,on time,118847,5000,6000,0
60000,female,university,married,38,on time,on time,45972,5000,5000,0
150000,female,graduate school,single,25,on time,on time,3167,13879,4000,0
240000,female,university,married,44,on time,on time,16925,1411,1200,0
130000,male,university,single,29,on time,on time,3594,0,0,0
200000,male,high school,married,40,2 month(s) late,on time,91368,4000,8300,1
240000,female,university,married,56,2 month(s) late,2 month(s) late,2500,0,0,1
30000,female,graduate school,single,22,on time,on time,14885,1939,1500,1
50000,female,university,married,26,on time,on time,44335,2126,2104,0
30000,male,university,single,26,2 month(s) late,on time,13660,1269,3286,0
310000,male,graduate school,married,33,on time,on time,0,0,0,0
120000,female,university,single,28,2 month(s) late,2 month(s) late,111840,5300,3600,1
290000,female,university,married,34,on time,on time,16196,1292,1303,0
50000,male,university,single,45,on time,on time,45911,2350,2421,0
130000,female,graduate school,single,27,on time,on time,86883,40000,3400,0
50000,male,other,married,30,on time,on time,47311,2900,1035,0
210000,female,university,married,33,on time,on time,98,1120,0,0
50000,male,high school,married,47,1 month(s) late,3 month(s) late,4759,0,0,1
10000,female,university,single,40,on time,on time,6160,1123,1103,0
10000,male,high school,single,22,on time,on time,5757,1200,1128,0
80000,female,university,single,24,2 month(s) late,2 month(s) late,75444,6400,0,1
360000,male,university,married,65,1 month(s) late,on time,0,0,0,1
530000,male,graduate school,single,32,on time,on time,12451,24120,15791,0
20000,male,university,single,46,on time,on time,20376,2000,1500,0
170000,male,university,married,42,on time,on time,131629,5300,5100,0
220000,female,university,married,33,on time,on time,16090,4991,0,0
180000,male,high school,married,40,on time,on time,991,991,1316,0
440000,female,graduate school,married,37,on time,on time,5302,13333,1383,0
20000,male,university,married,62,2 month(s) late,on time,17870,1462,1367,1
400000,female,university,single,39,1 month(s) late,on time,0,0,0,1
130000,male,university,single,27,on time,on time,44826,1092,0,0
420000,male,graduate school,single,29,on time,on time,194505,5479,5502,0
80000,female,university,married,34,on time,on time,78688,4000,2333,0
20000,female,university,married,45,on time,on time,18569,2500,3000,0
320000,female,university,single,29,1 month(s) late,2 month(s) late,93070,0,3500,1
160000,male,graduate school,married,40,on time,on time,27563,5002,5000,0
50000,female,university,single,23,on time,on time,48725,4987,1661,0
50000,male,university,single,35,on time,on time,14536,2000,2000,0
70000,female,university,married,43,on time,on time,71037,3352,3400,0
20000,male,high school,single,59,1 month(s) late,2 month(s) late,19074,0,2300,1
160000,female,university,single,24,on time,on time,157389,6800,6500,0
130000,female,graduate school,single,33,1 month(s) late,on time,0,0,0,1
20000,female,graduate school,single,23,on time,on time,16918,4000,1,0
170000,female,university,married,48,on time,on time,18727,66513,108323,0
300000,female,graduate school,single,39,on time,on time,729,0,236,0
160000,female,graduate school,single,31,on time,on time,1672,4411,504,0
110000,female,high school,married,52,1 month(s) late,on time,0,0,1000,0
230000,female,graduate school,single,27,on time,on time,92167,3340,3401,0
60000,female,university,single,21,on time,on time,40969,1859,1410,0
280000,male,graduate school,married,35,on time,on time,146368,101585,90762,0
180000,female,graduate school,single,47,1 month(s) late,on time,-6,0,1257,0
30000,female,graduate school,married,30,2 month(s) late,2 month(s) late,12109,1300,1500,1
50000,female,university,single,28,on time,on time,48010,5000,2000,0
270000,female,university,married,41,on time,2 month(s) late,832,0,832,0
